state,governor_affiliation,lockdown_date,rbp,population,density
AL,Republican,4/4/2020,red,4903185,95.4
AK,Republican,3/28/2020,red,731545,1.3
AZ,Republican,3/31/2020,purple,7278717,58.3
AR,Republican,,red,3017825,56.9
CA,Democrat,3/19/2020,blue,39512223,246.1
CO,Democrat,3/26/2020,purple,5758736,50.8
CT,Democrat,3/23/2020,blue,3565287,742.6
DE,Democrat,3/24/2020,blue,973764,475.1
FL,Republican,,purple,21477737,364.6
GA,Republican,4/2/2020,red,10617423,173.7
HI,Democrat,3/25/2020,blue,1415872,218.6
ID,Republican,3/25/2020,red,1787065,19.5
IL,Democrat,3/20/2020,blue,12671821,232.0
IN,Republican,3/25/2020,red,6732219,183.4
IA,Republican,,red,3155070,55.3
KS,Democrat,3/30/2020,red,2913314,35.4
KY,Democrat,,red,4467673,111.3
LA,Democrat,3/23/2020,red,4648794,107.1
ME,Democrat,4/1/2020,purple,1344212,43.1
MD,Republican,3/30/2020,blue,6045680,610.8
MA,Republican,,blue,6949503,858.0
MI,Democrat,3/24/2020,purple,9986857,175.0
MN,Democrat,3/28/2020,purple,5639632,68.1
MS,Republican,4/3/2020,red,2976149,63.7
MO,Republican,,red,6137428,87.9
MT,Democrat,3/29/2020,red,1068778,7.0
NE,Republican,,red,1934408,24.3
NV,Democrat,,purple,3080156,25.4
NH,Republican,3/28/2020,purple,1359711,147.8
NJ,Democrat,3/21/2020,blue,8882190,1210.1
NM,Democrat,3/23/2020,blue,2096829,17.2
NY,Democrat,,blue,19453561,417.0
NC,Democrat,3/30/2020,purple,10488084,202.6
ND,Republican,,red,762062,10.5
OH,Republican,4/6/2020,red,11689100,283.2
OK,Republican,,red,3956971,56.1
OR,Democrat,3/23/2020,blue,4217737,40.9
PA,Democrat,3/23/2020,purple,12801989,285.5
RI,Democrat,3/30/2020,blue,1059361,1017.1
SC,Republican,,red,5148714,158.8
SD,Republican,,red,884659,11.1
TN,Republican,4/2/2020,red,6833174,157.5
TX,Republican,,red,28995881,101.2
UT,Republican,,red,3205958,35.3
VT,Republican,3/24/2020,blue,623989,68.0
VA,Democrat,3/30/2020,blue,8535519,209.2
WA,Democrat,3/25/2020,blue,7614893,104.9
WV,Republican,3/24/2020,red,1792147,77.1
WI,Democrat,3/25/2020,purple,5822434,106.0
WY,Republican,,red,578759,6.0
